,label,message,clean,warning,hate_ratio,classOG
18521,1,Jessica I'm not afraid to slit your throat tomorrow,,WARNING: This message may contain some hate speech about a person of asian descent.,0.3333333333333333,1
18520,0,"The fuckin pussy makes fun of people all day on the radio, someone calls him a creep and he blocks them.",,This message is clean of hate speech.,0.0,1
18519,1,Bernstine is Chi Sox Jew fag.,,WARNING: This message may contain some hate speech about a homosexual.,1.0,0
18518,0,"Like I said, pussies.",,This message is clean of hate speech.,0.0,1
18517,0,bitch. ,,This message is clean of hate speech.,0.0,1
18516,0,long tittie no nipple havin ass bitch,,This message is clean of hate speech.,0.0,1
18515,0,at least that one dude had the guts to @ me. If you don't like my opinion qquit being a bitch and keep scrolling,,This message is clean of hate speech.,0.0,1
18514,1,fag,,WARNING: This message may contain some hate speech about a homosexual.,0.6666666666666666,0
18513,1,ima call you of a different number cuz moms still on sum hoe shit,,WARNING: This message may contain some hate speech about a woman.,0.0,1
18512,2,joey r u a retard its about the defense and we only allow an avg of like 10 point so u really need to,"joey r u a ""disabled person"" its about the defense and we only allow an avg of like 10 point so u really need to.",WARNING: Parts of this message have been censored due to hate speech.,0.0,1
18511,2,thats just me rooting against a team I hate not banwagoning u retard u have a different favorite,"thats just me rooting against a team I hate not banwagoning u ""disabled person"" u have a different favorite.",WARNING: Parts of this message have been censored due to hate speech.,0.6666666666666666,0
18510,0,"Ill fucking merk a bitch dude, dont fuck with me",,This message is clean of hate speech.,0.0,1
18509,0,ur welcome u bitch,,This message is clean of hate speech.,0.0,1
18508,1,the minute those red n yellow for rent signs go up the reg. ppl start selling n move,,WARNING: This message may contain some hate speech about a person of asian descent.,0.0,2
18507,1,"I LOVE RACISM! ""Blame whitey"" for EVERYTHING!
Now that you mention it! I bet the white man put the Desert tortoise on #BundyRanch",,WARNING: This message may contain some hate speech about a caucasian.,0.6666666666666666,0
18506,1,fuck it hoes will be hoes.,,WARNING: This message may contain some hate speech about a woman.,0.0,1
18505,0,please no more like that SNOB elissa. rich bitches suck!,,This message is clean of hate speech.,0.0,1
18504,0,you better of called that kid a pussy!,,This message is clean of hate speech.,0.0,1
18503,0,#pussy,,This message is clean of hate speech.,0.0,1
18502,0,bitch,,This message is clean of hate speech.,0.0,1
18501,0,how are you Argie?,,This message is clean of hate speech.,0.0,2
18500,1,"bitch what huh nigga am not gonna do damn thing sir this my page, oh what u forgot",,WARNING: This message may contain some hate speech about a black person and a human female.,0.0,1
18499,1,shut yo cracker jack buck teeth ass Am a native and a nigga the best kind,,"WARNING: This message may contain some hate speech about a black person, a poor appalachian or poor southerner and a male native american.",0.3333333333333333,1
18498,0,me or nat!?  def not me with that shiner,,This message is clean of hate speech.,0.0,2
18497,0,Have heard some hillbilly grumblings that bugs worse in recent years because of MIC shutdown.,,This message is clean of hate speech.,0.0,2
18496,0,Xbox live fags,,This message is clean of hate speech.,0.3333333333333333,1
18495,0,You're also a better little bitch,,This message is clean of hate speech.,0.0,1
18494,0,blue cheese crackers intrigues and repulses me at the same time.,,This message is clean of hate speech.,0.0,2
18493,2,oh shut up faggot get a disease overused on twitter,"oh shut up ""homosexual"" get a disease overused on twitter.",WARNING: Parts of this message have been censored due to hate speech.,0.6666666666666666,0
18492,4,that's my nig nog,,This message has been blocked due to hate speech about a black person.,0.0,1
18491,0,bitch I'm starving!,,This message is clean of hate speech.,0.0,1
18490,0,bitch YESSSSS I make girls mad ,,This message is clean of hate speech.,0.0,1
18489,0,"You couldn't handle Iowa pussy - here, kitty, kitty, kitty --- http://t.co/1aNMKM4O9Y",,This message is clean of hate speech.,0.0,1
18488,0,"stegosaurus hissed like a snake, pterodactyl sounded like a crow,T-rex like a cross between a parrot and an elephant",,This message is clean of hate speech.,0.0,2
18487,0,let these hoes be great,,This message is clean of hate speech.,0.0,1
18486,0,lmfaoooo I'm tryna see how many hoes I can lure in,,This message is clean of hate speech.,0.0,1
18485,1,My guy is a Maine coon and a total cuddle bum. Every one that I've ever met has been super friendly.,,WARNING: This message may contain some hate speech about a black person.,0.0,2
18484,1,fag lol,,WARNING: This message may contain some hate speech about a homosexual.,0.0,1
18483,1," Getting his ass pounded  loving it! 
I'm done with this GAY whiney bitch. NEXT......",,WARNING: This message may contain some hate speech about a human female and someone who acts like a homosexual.,0.3333333333333333,1
18482,0,For real. Lil bitch.,,This message is clean of hate speech.,0.0,1
18481,0,"i understand why, everyone loves pussy",,This message is clean of hate speech.,0.0,1
18480,0,can a quote this and tag a bitch,,This message is clean of hate speech.,0.0,1
18479,0,only bad bitches in $roe r u  @flightrisk_,,This message is clean of hate speech.,0.0,1
18478,2,its retarded,"its ""disabled person"".",WARNING: Parts of this message have been censored due to hate speech.,1.0,0
18477,0,also Nack which autocorrect changed so I'm putting my phone in the trash and going to sleep,,This message is clean of hate speech.,0.0,2
18476,1,honestly fuck whoever agreed with this bitch ass nigga your never going to get to tupac level,,WARNING: This message may contain some hate speech about a black person and a human female.,0.3333333333333333,1
18475,1,fag.,,WARNING: This message may contain some hate speech about a homosexual.,0.6666666666666666,0
18474,0,I understand but stop venting on this bitch you give to much insight in to your life  these people don't deserve that,,This message is clean of hate speech.,0.0,1
18473,1,and why would I want my girl to stand up for me if im the man you are a bitch for letting her do that,,WARNING: This message may contain some hate speech about a disrespectful and a human female.,0.0,1
18472,0,I swear you straight up bitch,,This message is clean of hate speech.,0.3333333333333333,1
18471,0,and your an annoying ass fuck boy he could of still meet up and fight somwhere else u can shut that bitch shit up fuck boy,,This message is clean of hate speech.,0.0,1
18470,1,bitch where u be fuck nigga,,WARNING: This message may contain some hate speech about a black person and a human female.,0.3333333333333333,1
18469,0,bitch you look like one of the characters off of Sesame Street which yo ugly ass.,,This message is clean of hate speech.,0.0,1
18468,1,nigga what bitch I'm talking bout boxing can u read?,,WARNING: This message may contain some hate speech about a black person and a human female.,0.0,1
18467,0,so wtf u tryna do bitch?,,This message is clean of hate speech.,0.0,1
18466,1,that nigga ain't no fucking champ he a straight up bitch who not bout shit # bitch made!,,WARNING: This message may contain some hate speech about a black person and a human female.,0.3333333333333333,1
18465,0,your mama raised you as bitch right,,This message is clean of hate speech.,0.0,1
18464,0,your so fucking ignorant u talk a lot shit for someone who don't wanna fight your mama raised u as bitch huh?,,This message is clean of hate speech.,0.0,1
18463,1,Your a stupid little cunt... I thought you couldn't get any lower.. But how dare you spit on people on your own fucking fans..,,WARNING: This message may contain some hate speech about comparing someone (usually male) to female genitalia.,0.3333333333333333,1
18462,2,have fun getting deported you fucking faggot,"have fun getting deported you fucking ""homosexual"".",WARNING: Parts of this message have been censored due to hate speech.,0.3333333333333333,1
18461,2,nice wigger stache,"nice ""used in 19th-century united states to refer to the irish"" stache.",WARNING: Parts of this message have been censored due to hate speech.,0.0,1
18460,2,oh I forgot you retarded lol lemme break it down for you where the BG hoes at lmao,"oh I forgot you ""disabled person"" lol lemme break it down for you where the BG ""woman"" at lmao.",WARNING: Parts of this message have been censored due to hate speech.,0.16666666666666666,1
18459,1,"
God bless you whitey. I be sleepin in tomorrow",,WARNING: This message may contain some hate speech about a caucasian.,0.0,2
18458,0,quit being a bitch,,This message is clean of hate speech.,0.3333333333333333,1
18457,1,oh what hoe is she trippin bout then,,WARNING: This message may contain some hate speech about a woman.,0.0,1
18456,1,I put lotion on bitch ass nigga,,WARNING: This message may contain some hate speech about a black person and a human female.,0.0,1
18455,2,We got a win my nicca! Lmao,We got a win my nicca! Lmao.,WARNING: Parts of this message have been censored due to hate speech.,0.0,1
18454,2,ok they have 2 niggers in raw,"ok they have 2 ""black person"" in raw.",WARNING: Parts of this message have been censored due to hate speech.,0.0,1
18453,1,lol then they have one more flavor I think it's yellow idk.. But yea there bomb.,,WARNING: This message may contain some hate speech about a person of asian descent.,0.0,2
18452,0,do it pussy,,This message is clean of hate speech.,0.0,1
18451,0,"he triesto cause drama between people, he said that you called me a bitch, and i know you didnt hahahaaha",,This message is clean of hate speech.,0.0,1
18450,0,#pussy,,This message is clean of hate speech.,0.0,1
18449,4,Yeah one called me a race traitor lol,,This message has been blocked due to hate speech about term used by white supremacists to denote a person of mixed race.,0.0,2
18448,0,"well, I know you like it when children are murdered, kind of weird you would be such a little bitch about a twitter list",,This message is clean of hate speech.,0.0,1
18447,0,"He said ""ready bitch okay"" Lmfaoooooooo so done !!",,This message is clean of hate speech.,0.0,1
18446,0,tell yo bitch to stop calling me fam ! http://t.co/6ZWo2a5wGI,,This message is clean of hate speech.,0.0,1
18445,0,Then send them bitches through express mail overnight delivery,,This message is clean of hate speech.,0.0,1
18444,1,aha your welcome niggah ,,WARNING: This message may contain some hate speech about a black person.,0.0,1
18443,1,dont even trip my niggah i got you lol,,WARNING: This message may contain some hate speech about a black person.,0.0,1
18442,1,just look for the realest niggah on rosecrans that be me lol,,WARNING: This message may contain some hate speech about a black person.,0.0,1
18441,1,my niggah my niggah lol,,WARNING: This message may contain some hate speech about a black person.,0.3333333333333333,1
18440,1,niggah you dont know me! Lol you dont know my life aha,,WARNING: This message may contain some hate speech about a black person.,0.3333333333333333,1
18439,0,I can't help but notice you attempting to avoid acknowledging your very hairy pussy....,,This message is clean of hate speech.,0.0,1
18438,0,"oh no no no. You're perpetually in the 15%. 

Your hairy pussy tho.... Different story.",,This message is clean of hate speech.,0.0,1
18437,0,your pussy not mine  do you ,,This message is clean of hate speech.,0.0,1
18436,0,"aka he wanna keep you warm, shoulda just introduced himself #coons",,This message is clean of hate speech.,0.0,2
18435,0,let the coons be great it's in the dream,,This message is clean of hate speech.,0.3333333333333333,2
18434,1,"u gotta slow down these coon hrs all they know is love n hip hop, lebron,  fake love quotes",,WARNING: This message may contain some hate speech about a black person.,0.6666666666666666,0
18433,0,pussy shit ^,,This message is clean of hate speech.,0.0,1
18432,0,don't judge me monkey,,This message is clean of hate speech.,0.0,2
18431,1,I'm not a nig. ,,WARNING: This message may contain some hate speech about a black person.,0.0,1
18430,1,shine bright like a bad bitch,,WARNING: This message may contain some hate speech about a black person and a human female.,0.0,1
18429,1,hoes gon be hoes so so i couldn't blame tammy,,WARNING: This message may contain some hate speech about a woman.,0.0,1
18428,0,Stink should shut his hole  just perform his tricks like a good trained monkey,,This message is clean of hate speech.,0.0,2
18427,0,"of the washington post to call the President ignorant I ask you racist ,angry ,bitter, bitch look in the mirror!!!!!!!!!!!",,This message is clean of hate speech.,0.3333333333333333,1
18426,0,"bitch please, I'll go to Windsor either way.. When i come up I can bring some also ",,This message is clean of hate speech.,0.0,1
18425,0,nah this bitch dykey,,This message is clean of hate speech.,0.0,1
18424,0,"I know, all the bitches love me",,This message is clean of hate speech.,0.0,1
18423,0,ha bitch I know,,This message is clean of hate speech.,0.0,1
18422,0,"if you can't stand the heat, get out of the kitchen. Gratata swag bitch ",,This message is clean of hate speech.,0.0,1
18421,0,holy fuck thank you. I hate bitches that just fuck their ex then their boyfriend then back to back like damn Call you peace pipe,,This message is clean of hate speech.,0.0,1
18420,1,"trust me, after i tweeted that i was like... Damn im a fag",,WARNING: This message may contain some hate speech about a homosexual.,0.3333333333333333,1
18419,0,bitch back up I'm taken,,This message is clean of hate speech.,0.0,1
18418,2,no but if you dare I'll slay your ass. You fruity quaffing tranny.,"no but if you dare I'll slay your ass. You ""pejorative term which is shortened from either transgendered"" quaffing ""person's sexual orientation"".",WARNING: Parts of this message have been censored due to hate speech.,0.3333333333333333,1
18417,0,Its funny and it has that blond bitch on it,,This message is clean of hate speech.,0.0,1
18416,1,hey now there's no need for foul language you kike,,WARNING: This message may contain some hate speech about an ashkenazi jew (though typically generalized to all jews).,0.0,2
18415,0,"hey, fuk them hoes they prolly already have it",,This message is clean of hate speech.,0.0,1
18414,0,then who are you to call me trash ,,This message is clean of hate speech.,0.0,2
18413,1,yep I'm an asshole..oh well he shouldn't be such a little bitch..I'm sure he hears worse on a daily basis,,WARNING: This message may contain some hate speech about a person from massachusetts and a human female.,0.3333333333333333,1
18412,0,suck ass bum ass Yankees foh,,This message is clean of hate speech.,0.0,1
18411,1,"poor coon.......snow stopped here,now if the wind would it might be nice out,well for winter",,WARNING: This message may contain some hate speech about a black person.,0.0,2
18410,0,haha pussy,,This message is clean of hate speech.,0.0,1
18409,0,I know bitch,,This message is clean of hate speech.,0.0,1
18408,0,bitch  if they wasnt ,,This message is clean of hate speech.,0.0,1
18407,0,bitch this shit is SOOOO FUNNY ,,This message is clean of hate speech.,0.0,1
18406,0,"bitch you looked surprised asf  ""YO MAMA LET YOU DRIVE HER SHIT"" ",,This message is clean of hate speech.,0.0,1
18405,0,"like some of the ""worst"" lyrics they post are beautiful but just because they don't know what they're talking about, it's ""trash""",,This message is clean of hate speech.,0.0,2
18404,0,"don't forget nappy headed, butt ugly bitch, who's married to a Muslim",,This message is clean of hate speech.,0.6666666666666666,0
18403,0,that's the beauty of them brownies I always daydream about what I'd do if I hit the powerball lol (nerdy but fun),,This message is clean of hate speech.,0.0,2
18402,0,only dumb bitches r in 8th,,This message is clean of hate speech.,0.0,1
18401,0,bring it bitch.,,This message is clean of hate speech.,0.0,1
18400,2,nah dude mostly just sound like a faggot,"nah dude mostly just sound like a ""homosexual"".",WARNING: Parts of this message have been censored due to hate speech.,0.6666666666666666,0
18399,2,safe bruv welcum to twitter my niggur,"safe bruv welcum to twitter my ""black person"".",WARNING: Parts of this message have been censored due to hate speech.,0.0,1
18398,0,"wrong skiny girls are for guys that want hot sex that looks good too.
Every fat bitch knows that",,This message is clean of hate speech.,0.0,1
18397,1,Isn't there a law that all clam chowder must be served im bread bowls? Haha,,WARNING: This message may contain some hate speech about a scientologist.,0.0,2
18396,0,ruga bussed yo bitch #bowbow,,This message is clean of hate speech.,0.0,1
18395,0,duh! You're my main bitch :),,This message is clean of hate speech.,0.0,1
18394,0,its pretty easy actually. I'm just the cashier. Right now I'm eating those animal crackers lolol :),,This message is clean of hate speech.,0.0,2
18393,1,what time is your bonfire Saturday hoe?,,WARNING: This message may contain some hate speech about a woman.,0.0,1
18392,1,"Hey, that guy has the same first name that I do! What a fag.",,WARNING: This message may contain some hate speech about a homosexual.,0.0,1
18391,1,fag ,,WARNING: This message may contain some hate speech about a homosexual.,0.16666666666666666,1
18390,0,moderator wants to bitch slap Romney so hard,,This message is clean of hate speech.,0.3333333333333333,1
18389,0,got bitches that look like Bulldogs instead lol,,This message is clean of hate speech.,0.0,1
18388,0,quit ya hating you oyster lookin ass bitch.,,This message is clean of hate speech.,0.0,1
18387,1,"Nope - got lucky - some washing on the slopes, gonna make it a little rough combining but feeling very fortunate today",,WARNING: This message may contain some hate speech about a person of asian descent.,0.0,2
18386,0, Shy Glizzy,,This message is clean of hate speech.,0.0,2
18385,2,i know im so kidding. Some of BET is funny. I love when blacks call eachother ignorant and niggers. Makes me not have to,"i know im so kidding. Some of BET is funny. I love when blacks call eachother ignorant and ""black person"" Makes me not have to.",WARNING: Parts of this message have been censored due to hate speech.,0.6666666666666666,0
18384,0,bitch what time,,This message is clean of hate speech.,0.0,1
18383,1,nigga stop being a bitch and come to the high school You already said yes,,WARNING: This message may contain some hate speech about a black person and a human female.,0.3333333333333333,1
18382,0,No the fuck it doesn't it's a fucking song wtf r u talking about. Yes the fuck I can bitch,,This message is clean of hate speech.,0.0,1
18381,0,plz come down here im really sick of your bitch ass talking shit plz come down here it going to be 1 on 1,,This message is clean of hate speech.,0.0,1
18380,2,"No am just letting you what's going to happen, am not like u pussy ass niggas from Plano","No am just letting you what's going to happen, am not like u ""pejorative word for female"" ass ""black person"" from Plano.",WARNING: Parts of this message have been censored due to hate speech.,0.3333333333333333,1
18379,0,bitch I been in Plano every fuck weekend and you make excuses stfu and fight,,This message is clean of hate speech.,0.0,1
18378,0,bitch how tf am dumb your going off what someone else told you so u can shut that shit up,,This message is clean of hate speech.,0.3333333333333333,1
18377,0,bitch that's next year come on the weekend,,This message is clean of hate speech.,0.0,1
18376,0,but yo scary ass don't want to see me tho stfu talking am u know where I be at pussy boy,,This message is clean of hate speech.,0.3333333333333333,1
18375,1,u fucking trailer trash,,WARNING: This message may contain some hate speech about a caucasian of low class or limited income.,0.3333333333333333,1
18374,0,naw really bitch I mean yo address,,This message is clean of hate speech.,0.0,1
18373,0,bitch keep talking,,This message is clean of hate speech.,0.0,1
18372,0,bitch what where y'all be at come to town east mall u and your bitch fuck boys,,This message is clean of hate speech.,0.0,1
18371,0,then bring yo bitch ass to town east mall let me know when u there bitch!,,This message is clean of hate speech.,0.0,1
18370,0,then bring your bitch ass to town east bitch,,This message is clean of hate speech.,0.0,1
18369,2,u call me dumb but u speak on shit u don't know nothing about yea look who's fucking talking retard,"u call me dumb but u speak on shit u don't know nothing about yea look who's fucking talking ""disabled person"".",WARNING: Parts of this message have been censored due to hate speech.,0.3333333333333333,1
18368,0,where y'all be at oh we going fight come to town east bitch,,This message is clean of hate speech.,0.0,1
18367,0,yea it's very true bitch,,This message is clean of hate speech.,0.0,1
18366,1,so why the fuck are still talking shit. You acting like a pussy ass nigga,,WARNING: This message may contain some hate speech about a black person and pejorative word for female.,0.6666666666666666,0
18365,0,How u going to talk shit from another state that's dat pussy shit,,This message is clean of hate speech.,0.0,1
18364,0,I heard your mama raised you like bitch,,This message is clean of hate speech.,0.3333333333333333,1
18363,0,I said your name bitch so yes you fuck boy,,This message is clean of hate speech.,0.0,1
18362,1,Lmfao and I'm making more money then yo duck ass bitch I from Dallas tx born and raised and we back our shit up all day nigga,,WARNING: This message may contain some hate speech about a black person and a human female.,0.3333333333333333,1
18361,1,No am real but you a pussy ass nigga so why would I give a fuck what u think lmao just stfu,,WARNING: This message may contain some hate speech about a black person and pejorative word for female.,0.0,1
18360,0,No that's what u think I just don't like pussy boys who run they mouth but they can't back they words up.,,This message is clean of hate speech.,0.0,1
18359,0,No the fuck it's not bitch what's the real fucking address get that bitch out yo blood and tell me the address,,This message is clean of hate speech.,0.0,1
18358,0,"am done are acting like a little bitch. My 5 year old nephew realer then your scary ass, sunset is not a time u dumb fuck",,This message is clean of hate speech.,0.0,1
18357,0,am going to hurt more then your bitch ass feelings,,This message is clean of hate speech.,0.0,1
18356,1,and stop being a bitch made nigga and man up and show up for that ass whooping,,WARNING: This message may contain some hate speech about a black person and a human female.,0.3333333333333333,1
18355,0,and who said I didn't like myself where the fuck u got shit from u made that up stfu and stop assuming and bitch am not ugly.,,This message is clean of hate speech.,0.0,1
18354,1,and why would I care what a bitch ass nigga think and u don't understand how fucking scary u look,,WARNING: This message may contain some hate speech about a black person and a human female.,0.3333333333333333,1
18353,0,and you got that pussy in your bllod,,This message is clean of hate speech.,0.0,1
18352,1,"bitch I don't wanna talk, I wanna fight your pussy ass",,WARNING: This message may contain some hate speech about a human female and pejorative word for female.,0.0,1
18351,0,bitch I have a phone stfu talking don't worry about me just make sure you show up,,This message is clean of hate speech.,0.0,1
18350,0,bitch am not I really don't fucking like you. why the fuck are you even talking to me ?,,This message is clean of hate speech.,0.0,1
18349,0,"bitch am not your fam and wtf is skrong, who says shit like that get your wack ass off my page lamo",,This message is clean of hate speech.,0.0,1
18348,0,"bitch cause u wanted to fight and you didn't show up, and tryna make a bet and shit get yo friendly ass off My Twitter",,This message is clean of hate speech.,0.0,1
18347,0,bitch didn't we just discuss this shit yesterday what time faget,,This message is clean of hate speech.,0.0,1
18346,0,bitch get the fuck off my tl what u mean,,This message is clean of hate speech.,0.0,1
18345,0,bitch go get a life before I block your lame ass,,This message is clean of hate speech.,0.0,1
18344,1,bitch let's fight today where you at or are you going to bitch up again. I think your going to bitch up again,,WARNING: This message may contain some hate speech about a human female.,0.0,1
18343,0,bitch meet up,,This message is clean of hate speech.,0.0,1
18342,0,bitch that says traffic stop bitch stop making excuses,,This message is clean of hate speech.,0.0,1
18341,1,bitch u a thot oh fake ass nigga box up hoe u not bout nothing,,"WARNING: This message may contain some hate speech about a black person, a woman and a human female.",0.0,1
18340,0,bitch u describe both of those terms,,This message is clean of hate speech.,0.0,1
18339,1,bitch was i talking to u stfu and get off my page oh bitch nigga u bout that life,,WARNING: This message may contain some hate speech about a black person and a human female.,0.6666666666666666,0
18338,0,"bitch what? I did show up then I tweeted,dm, texted then called u and I asked u were tryna meet up bitch ur fucking weak.",,This message is clean of hate speech.,0.0,1
18337,0,bitch what? No it must of flew over u head cuz u didn't show up at Plano senior high school in Plano tx fuck boy,,This message is clean of hate speech.,0.0,1
18336,2,bitch who's fucking playing but you and how would u know what I smoke I don't fuck with friendly ass niggas,"""human female"" who's fucking playing but you and how would u know what I smoke I don't fuck with friendly ass ""black person"".",WARNING: Parts of this message have been censored due to hate speech.,0.0,1
18335,2,bitch who's playing am not worried about you or your little faget ass friends at vines I know niggas at vines to so wtf u say,"""human female"" who's playing am not worried about you or your little faget ass friends at vines I know ""black person"" at vines to so wtf u say.",WARNING: Parts of this message have been censored due to hate speech.,0.0,1
18334,1,bitch wtf r u talking about and why tf r u still talking shit but not doing no action no thank for proving my point pussy boy,,WARNING: This message may contain some hate speech about a human female and pejorative word for female.,0.0,1
18333,0,bitch you are not funny stfu talking to me what part of that do you not understand?,,This message is clean of hate speech.,0.0,1
18332,0,bye bitch,,This message is clean of hate speech.,0.0,1
18331,0,catch them hoes on.Saturday meet me at Plano senior high,,This message is clean of hate speech.,0.0,1
18330,1,ha bitch who angry bitch am taller and older then your fake ass boy stfu your making yourself look like a dumbass pussy boyy!,,WARNING: This message may contain some hate speech about a human female and pejorative word for female.,0.0,1
18329,2,here let me say it more clearly since your retarded ass don't understand,"here let me say it more clearly since your ""disabled person"" ass don't understand.",WARNING: Parts of this message have been censored due to hate speech.,0.6666666666666666,0
18328,2,how would u know if I don't fuck with you? Exactly you don't wtf I got shut your retarded ass up,"how would u know if I don't fuck with you? Exactly you don't wtf I got shut your ""disabled person"" ass up.",WARNING: Parts of this message have been censored due to hate speech.,0.6666666666666666,0
18327,1,i swear u a fuck nigga u a scary little bitch u think this a game huh?,,WARNING: This message may contain some hate speech about a black person and a human female.,0.3333333333333333,1
18326,1,idgaf what your name is scary ass give me a real address hoe,,WARNING: This message may contain some hate speech about a woman.,0.0,1
18325,0,is that all you have to say you sound like a little bitch nagging and shit where u be at,,This message is clean of hate speech.,0.0,1
18324,2,"keep talking I'm going to make when u can't talk, u going to be talking like a retard","keep talking I'm going to make when u can't talk, u going to be talking like a ""disabled person"".",WARNING: Parts of this message have been censored due to hate speech.,0.3333333333333333,1
18323,0,lets settle this and fight stop being a pussy,,This message is clean of hate speech.,0.0,1
18322,1,lmao why ur dad raised u to be a bitch made nigga,,WARNING: This message may contain some hate speech about a black person and a human female.,1.0,0
18321,0,meet up then and stop hitching out and back your words up pussy,,This message is clean of hate speech.,0.0,1
18320,0,mfka what ok bitch we going to see. Your a funny mother fucker,,This message is clean of hate speech.,0.0,1
18319,3,"naw my fam aint no bitch made niggas, gtf off my shit fuck nigga im not your fam oh friendly ass nigga",,This message has been blocked due to hate speech about a black person and a human female.,0.0,1
18318,1,nigga I was there at 5:42 I went to go get my homeboy and I texted u at 5:50 naw u a bitch,,WARNING: This message may contain some hate speech about a black person and a human female.,0.0,1
18317,1,nigga i really dont give a flying fuck but if u wanna talk shit then back your words up and scratch stop being a little bitch,,WARNING: This message may contain some hate speech about a black person and a human female.,0.3333333333333333,1
18316,1,nigga u just called me a bitch last time i check im a fucking nigga get out there and ill show u what a real fight like,,WARNING: This message may contain some hate speech about a black person and a human female.,0.0,1
18315,1,nigga what I was talking bout after school. Or when ever your choice bitch,,WARNING: This message may contain some hate speech about a black person and a human female.,0.3333333333333333,1
18314,0,oh am I lame but yo pussy ass didn't show up the fuck u talking bout oh scary ass white boy,,This message is clean of hate speech.,1.0,0
18313,0,oh but I am and my grades say other wise so u can stfu and get off my Twitter or u can box simple ass that pussy boy,,This message is clean of hate speech.,0.6666666666666666,0
18312,0,pussy,,This message is clean of hate speech.,0.0,1
18311,1,pussy nigga it's the same term,,WARNING: This message may contain some hate speech about a black person and pejorative word for female.,0.3333333333333333,1
18310,0,restricton g means your license been revoked stop making excuses you a straight up bitch,,This message is clean of hate speech.,0.0,1
18309,0,sorry don't know what to tell you but to get your pussy ass off my twitter,,This message is clean of hate speech.,0.0,1
18308,0,u can bring that bitch to.,,This message is clean of hate speech.,0.0,1
18307,1,u can have a tool bet u want shoot it tho pussy ass nigga but u can't through dem hands tho,,WARNING: This message may contain some hate speech about a black person and pejorative word for female.,0.3333333333333333,1
18306,0,u feel like dumb ass don't u pussy boy,,This message is clean of hate speech.,0.0,1
18305,1,u going to get dropped bitch im a fucking nigga who got a fucking dick,,WARNING: This message may contain some hate speech about a black person and a human female.,0.0,1
18304,0,u made me drive all the way to Plano then wanna bitch out,,This message is clean of hate speech.,0.0,1
18303,0,u want me to panda express so someone. Can break up the like fuck stick to plan and go to Plano get that bitch out your blood,,This message is clean of hate speech.,0.0,1
18302,2,u will see it on Saturday and if u don't show up then your a bitch made nigga pussy ass nigga,"u will see it on Saturday and if u don't show up then your a ""human female"" made ""black person"" ""pejorative word for female"" ass ""black person"".",WARNING: Parts of this message have been censored due to hate speech.,0.3333333333333333,1
18301,0,umm you sure the hoes I talk to aren't ugly,,This message is clean of hate speech.,0.0,1
18300,0,wtf r u talking about I was in Plano tx what r u talking about pussy boy,,This message is clean of hate speech.,0.0,1
18299,1,wtf u think u ole pussy ass nigga,,WARNING: This message may contain some hate speech about a black person and pejorative word for female.,0.3333333333333333,1
18298,0,"yes bitch, your a fucking square",,This message is clean of hate speech.,0.3333333333333333,1
18297,2,you dumb fuck that's not a fucking full address you dumbass I don't live in Plano so how the fuck would I know retard,"you dumb fuck that's not a fucking full address you dumbass I don't live in Plano so how the fuck would I know ""disabled person"".",WARNING: Parts of this message have been censored due to hate speech.,0.0,1
18296,1,your so fucking retared its not even funny bitch im going to sleep u,,WARNING: This message may contain some hate speech about a disabled person and a human female.,0.6666666666666666,0
18295,1,Alright fag what about this? http://t.co/5ht61NmjJ3,,WARNING: This message may contain some hate speech about a homosexual.,0.6666666666666666,0
18294,1,Home fag. Didn't feel like puttin up with your shit today,,WARNING: This message may contain some hate speech about a homosexual.,0.0,1
18293,0,I slid in your DMs so answer me bitch!!,,This message is clean of hate speech.,0.0,1
18292,0,don't you mean crowd not crows,,This message is clean of hate speech.,0.0,2
18291,0,"Im pretty sure she's a bad bitch. In other words, shawty a dime.",,This message is clean of hate speech.,0.0,1
18290,0,I was implying you we're the bro  them two aint nothin but lil hoes..c'mon now I or you Kim,,This message is clean of hate speech.,0.0,1
18289,0, bitches needa take notes,,This message is clean of hate speech.,0.0,1
18288,1,nigga be safe hoe,,WARNING: This message may contain some hate speech about a black person and a woman.,0.0,1
18287,0,fuck you bitch,,This message is clean of hate speech.,0.0,1
18286,1,lmaooooo we can't wash that baby ass honda you got cause that hoe don't cost more than 1200,,WARNING: This message may contain some hate speech about a woman.,0.0,1
18285,0,lmaooo just call my phone if you want them birds *Migos Voice*,,This message is clean of hate speech.,0.0,2
18284,1,don't watch me watch tv hoe,,WARNING: This message may contain some hate speech about a woman.,0.3333333333333333,1
18283,1,nigga Madison playing some bitch ass white boys that's going to Harvard on law scholarship play crazy,,WARNING: This message may contain some hate speech about a black person and a human female.,0.3333333333333333,1
18282,0,shut up bitch for I spit on you,,This message is clean of hate speech.,0.6666666666666666,0
18281,1,you owe me anyway hoe I need that with interest or shooting your shit up,,WARNING: This message may contain some hate speech about a woman.,0.16666666666666666,1
18280,1,you seen it hoe put that cash up bitch imma take your money and spit on your fat ass,,WARNING: This message may contain some hate speech about a woman and a human female.,0.3333333333333333,1
18279,0,"I feel like I just got married bruh, she a bad bitch",,This message is clean of hate speech.,0.0,1
18278,0,Don't be a bitch,,This message is clean of hate speech.,0.0,1
18277,0,you just did bitch lol,,This message is clean of hate speech.,0.0,1
